2023-09-12 07:14:46.046 [info] L’expérience «pythonaacf» est active
2023-09-12 07:14:46.046 [info] L’expérience «pythonPromptNewFormatterExt» est active
2023-09-12 07:14:46.046 [info] L’expérience «pythonPromptNewToolsExt» est active
2023-09-12 07:14:47.331 [info] Test server listening.
2023-09-12 07:14:47.489 [info] > /usr/bin/python3 -I ~/.vscode-server/extensions/ms-python.python-2023.16.0/pythonFiles/get_output_via_markers.py ~/.vscode-server/extensions/ms-python.python-2023.16.0/pythonFiles/interpreterInfo.py
2023-09-12 07:14:47.953 [info] Chemin de l’interpréteur Python : /usr/bin/python3
2023-09-12 07:14:48.130 [warning] Retry failed, storage update failed for key PYTHON_WORKSPACE_STORAGE_KEYS
2023-09-12 07:14:48.130 [warning] Retry failed, storage update failed for key PYTHON_WORKSPACE_STORAGE_KEYS
2023-09-12 07:14:48.131 [warning] Retry failed, storage update failed for key PYTHON_WORKSPACE_STORAGE_KEYS
2023-09-12 07:14:50.767 [info] Discover tests for workspace name: hotspot - uri: /home/pi/hotspot/hotspot/settings.py
2023-09-12 07:14:52.532 [info] Démarrage du serveur de langage Pylance
2023-09-12 07:17:24.040 [info] Discover tests for workspace name: hotspot - uri: /home/pi/hotspot/wiforama/views.py
2023-09-12 07:21:10.178 [info] Discover tests for workspace name: hotspot - uri: /home/pi/hotspot/wiforama/views.py
2023-09-12 07:21:56.865 [info] Discover tests for workspace name: hotspot - uri: /home/pi/hotspot/hotspot/settings.py
2023-09-12 07:22:10.690 [info] Discover tests for workspace name: hotspot - uri: /home/pi/hotspot/wiforama/views.py
2023-09-12 07:23:25.531 [info] Discover tests for workspace name: hotspot - uri: /home/pi/hotspot/hotspot/settings.py
2023-09-12 07:24:49.326 [info] Discover tests for workspace name: hotspot - uri: /home/pi/hotspot/wiforama/views.py
2023-09-12 07:37:52.689 [info] Discover tests for workspace name: hotspot - uri: /home/pi/hotspot/hotspot/settings.py
2023-09-12 07:44:31.293 [info] Discover tests for workspace name: hotspot - uri: /home/pi/hotspot/wiforama/views.py
2023-09-12 07:45:02.353 [info] Discover tests for workspace name: hotspot - uri: /home/pi/hotspot/wiforama/views.py
2023-09-12 07:50:26.957 [info] Discover tests for workspace name: hotspot - uri: /home/pi/hotspot/wiforama/views.py
2023-09-12 07:51:42.330 [info] Discover tests for workspace name: hotspot - uri: /home/pi/hotspot/wiforama/views.py
2023-09-12 07:52:46.172 [info] Discover tests for workspace name: hotspot - uri: /home/pi/hotspot/hotspot/settings.py
2023-09-12 07:56:10.567 [info] Discover tests for workspace name: hotspot - uri: /home/pi/hotspot/wiforama/views.py
2023-09-12 07:56:48.519 [info] Discover tests for workspace name: hotspot - uri: /home/pi/hotspot/wiforama/views.py
2023-09-12 07:57:46.801 [info] Discover tests for workspace name: hotspot - uri: /home/pi/hotspot/wiforama/views.py
2023-09-12 08:00:58.069 [info] Discover tests for workspace name: hotspot - uri: /home/pi/hotspot/wiforama/views.py
2023-09-12 08:02:25.053 [info] Discover tests for workspace name: hotspot - uri: /home/pi/hotspot/wiforama/views.py
2023-09-12 08:04:06.362 [info] Discover tests for workspace name: hotspot - uri: /home/pi/hotspot/wiforama/views.py
2023-09-12 08:06:06.530 [info] Discover tests for workspace name: hotspot - uri: /home/pi/hotspot/wiforama/views.py
2023-09-12 08:06:29.725 [info] Discover tests for workspace name: hotspot - uri: /home/pi/hotspot/wiforama/views.py
2023-09-12 08:07:58.997 [info] Discover tests for workspace name: hotspot - uri: /home/pi/hotspot/wiforama/views.py
2023-09-12 08:09:30.926 [info] Discover tests for workspace name: hotspot - uri: /home/pi/hotspot/wiforama/views.py
2023-09-12 08:15:24.112 [info] Discover tests for workspace name: hotspot - uri: /home/pi/hotspot/wiforama/views.py
